imd_storm_id,serial,name,year,basin,start_time,end_time,duration_hours,n_obs,n_imd_obs,n_scorpio_obs,peak_wind_kt,min_pressure_hpa,peak_dvorak_ci,peak_grade,provenance
1999-001,1.0,,1999,BOB,1999-02-01 03:00:00,1999-02-03 18:00:00,63.0,13,13,0,50.0,998.0,3.0,CS,RSMC_New_Delhi_Best_Track
1999-002,2.0,,1999,ARB,1999-05-16 12:00:00,1999-05-22 12:00:00,144.0,42,42,0,105.0,946.0,5.5,ESCS,RSMC_New_Delhi_Best_Track
1999-003,3.0,,1999,BOB,1999-06-17 03:00:00,1999-06-18 09:00:00,30.0,8,8,0,30.0,986.0,2.0,DD,RSMC_New_Delhi_Best_Track
1999-004,4.0,,1999,BOB,1999-07-27 03:00:00,1999-07-29 06:00:00,51.0,12,12,0,25.0,990.0,2.0,DD,RSMC_New_Delhi_Best_Track
1999-005,5.0,,1999,BOB,1999-08-06 12:00:00,1999-08-09 00:00:00,60.0,11,11,0,20.0,992.0,1.5,D,RSMC_New_Delhi_Best_Track
1999-006,6.0,,1999,BOB,1999-10-15 03:00:00,1999-10-19 03:00:00,96.0,30,30,0,90.0,968.0,5.0,ESCS,RSMC_New_Delhi_Best_Track
1999-007,7.0,,1999,BOB,1999-10-25 06:00:00,1999-10-31 03:00:00,141.0,40,40,0,140.0,912.0,7.0,SuCS,RSMC_New_Delhi_Best_Track
1999-008,8.0,,1999,BOB,1999-12-08 09:00:00,1999-12-10 09:00:00,48.0,14,14,0,25.0,998.0,1.5,D,RSMC_New_Delhi_Best_Track
2000-001,1.0,,2000,BOB,2000-03-27 12:00:00,2000-03-30 12:00:00,72.0,18,18,0,45.0,998.0,3.0,CS,RSMC_New_Delhi_Best_Track
2000-002,2.0,,2000,BOB,2000-08-23 03:00:00,2000-08-24 00:00:00,21.0,5,5,0,25.0,994.0,1.5,D,RSMC_New_Delhi_Best_Track
2000-003,3.0,,2000,BOB,2000-10-15 00:00:00,2000-10-19 06:00:00,102.0,25,25,0,35.0,996.0,2.5,CS,RSMC_New_Delhi_Best_Track
2000-004,4.0,,2000,BOB,2000-10-25 09:00:00,2000-10-29 00:00:00,87.0,20,20,0,35.0,998.0,2.5,CS,RSMC_New_Delhi_Best_Track
2000-005,5.0,,2000,BOB,2000-11-26 03:00:00,2000-11-30 06:00:00,99.0,30,30,0,102.0,958.0,5.5,ESCS,RSMC_New_Delhi_Best_Track
2000-006,6.0,,2000,BOB,2000-12-23 03:00:00,2000-12-29 00:00:00,141.0,35,35,0,90.0,970.0,5.0,ESCS,RSMC_New_Delhi_Best_Track
2001-001,1.0,,2001,ARB,2001-05-21 12:00:00,2001-05-29 00:00:00,180.0,60,60,0,115.0,932.0,6.0,ESCS,RSMC_New_Delhi_Best_Track
2001-002,2.0,,2001,BOB,2001-06-12 03:00:00,2001-06-13 12:00:00,33.0,5,5,0,25.0,990.0,1.5,D,RSMC_New_Delhi_Best_Track
2001-003,3.0,,2001,ARB,2001-09-24 09:00:00,2001-09-27 21:00:00,84.0,25,25,0,35.0,1000.0,2.5,CS,RSMC_New_Delhi_Best_Track
2001-004,4.0,,2001,ARB,2001-10-08 21:00:00,2001-10-10 09:00:00,36.0,13,13,0,35.0,998.0,2.5,CS,RSMC_New_Delhi_Best_Track
2001-005,5.0,,2001,BOB,2001-10-14 12:00:00,2001-10-16 18:00:00,54.0,16,16,0,35.0,998.0,2.5,CS,RSMC_New_Delhi_Best_Track
2001-006,6.0,,2001,BOB,2001-11-11 03:00:00,2001-11-12 00:00:00,21.0,5,5,0,25.0,1004.0,1.5,D,RSMC_New_Delhi_Best_Track
2002-001,1.0,,2002,ARB,2002-05-06 03:00:00,2002-05-10 06:00:00,99.0,26,26,0,35.0,994.0,2.5,CS,RSMC_New_Delhi_Best_Track
2002-002,2.0,,2002,BOB,2002-05-11 03:00:00,2002-05-12 03:00:00,24.0,6,6,0,30.0,1004.0,2.0,DD,RSMC_New_Delhi_Best_Track
2002-003,3.0,,2002,BOB,2002-10-22 09:00:00,2002-10-23 18:00:00,33.0,7,7,0,25.0,1002.0,1.5,D,RSMC_New_Delhi_Best_Track
2002-004,4.0,,2002,BOB,2002-11-10 03:00:00,2002-11-12 15:00:00,60.0,18,18,0,55.0,990.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2002-005,5.0,,2002,BOB,2002-11-23 03:00:00,2002-11-28 12:00:00,129.0,36,36,0,35.0,1000.0,2.5,CS,RSMC_New_Delhi_Best_Track
2002-006,6.0,,2002,BOB,2002-12-21 03:00:00,2002-12-25 15:00:00,108.0,27,27,0,35.0,1000.0,2.5,CS,RSMC_New_Delhi_Best_Track
2003-001,1.0,,2003,BOB,2003-05-10 03:00:00,2003-05-19 21:00:00,234.0,79,79,0,75.0,980.0,4.5,VSCS,RSMC_New_Delhi_Best_Track
2003-002,2.0,,2003,BOB,2003-07-25 03:00:00,2003-07-28 03:00:00,72.0,7,7,0,30.0,988.0,2.0,DD,RSMC_New_Delhi_Best_Track
2003-003,3.0,,2003,BOB,2003-08-27 12:00:00,2003-08-28 12:00:00,24.0,3,3,0,25.0,996.0,1.5,D,RSMC_New_Delhi_Best_Track
2003-004,4.0,,2003,BOB,2003-10-06 03:00:00,2003-10-09 12:00:00,81.0,9,9,0,25.0,998.0,1.5,D,RSMC_New_Delhi_Best_Track
2003-005,5.0,,2003,BOB,2003-10-26 12:00:00,2003-10-28 09:00:00,45.0,5,5,0,30.0,1004.0,2.0,DD,RSMC_New_Delhi_Best_Track
2003-006,6.0,,2003,ARB,2003-11-12 03:00:00,2003-11-15 12:00:00,81.0,22,22,0,55.0,990.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2003-007,7.0,,2003,BOB,2003-12-11 12:00:00,2003-12-16 12:00:00,120.0,28,28,0,55.0,990.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2004-001,1.0,,2004,ARB,2004-05-05 03:00:00,2004-05-10 09:00:00,126.0,43,43,0,55.0,984.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2004-002,2.0,,2004,BOB,2004-05-16 09:00:00,2004-05-19 03:00:00,66.0,22,22,0,90.0,952.0,5.0,ESCS,RSMC_New_Delhi_Best_Track
2004-003,3.0,,2004,ARB,2004-06-10 03:00:00,2004-06-13 03:00:00,72.0,21,21,0,30.0,992.0,2.0,DD,RSMC_New_Delhi_Best_Track
2004-004,4.0,,2004,BOB,2004-06-11 03:00:00,2004-06-14 09:00:00,78.0,22,22,0,30.0,990.0,2.0,DD,RSMC_New_Delhi_Best_Track
2004-005,5.0,,2004,LAND,2004-09-12 03:00:00,2004-09-15 12:00:00,81.0,8,8,0,25.0,996.0,,D,RSMC_New_Delhi_Best_Track
2004-006,6.0,ONIL,2004,ARB,2004-09-30 09:00:00,2004-10-03 18:00:00,81.0,28,28,0,55.0,990.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2004-007,7.0,,2004,BOB,2004-10-02 03:00:00,2004-10-04 03:00:00,48.0,17,17,0,25.0,1002.0,1.5,D,RSMC_New_Delhi_Best_Track
2004-008,8.0,,2004,LAND,2004-10-07 03:00:00,2004-10-08 03:00:00,24.0,3,3,0,25.0,1004.0,,D,RSMC_New_Delhi_Best_Track
2004-009,9.0,,2004,ARB,2004-11-02 12:00:00,2004-11-07 12:00:00,120.0,13,13,0,30.0,1004.0,2.0,DD,RSMC_New_Delhi_Best_Track
2004-010,10.0,AGNI,2004,ARB,2004-11-29 03:00:00,2004-12-02 12:00:00,81.0,22,22,0,55.0,994.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2005-001,1.0,HIBARU,2005,BOB,2005-01-13 12:00:00,2005-01-17 12:00:00,96.0,23,23,0,35.0,1000.0,2.5,CS,RSMC_New_Delhi_Best_Track
2005-002,2.0,,2005,ARB,2005-06-21 03:00:00,2005-06-22 12:00:00,33.0,4,4,0,25.0,992.0,1.5,D,RSMC_New_Delhi_Best_Track
2005-003,3.0,,2005,LAND,2005-06-27 12:00:00,2005-07-05 12:00:00,192.0,17,17,0,25.0,990.0,,D,RSMC_New_Delhi_Best_Track
2005-004,4.0,,2005,BOB,2005-07-29 03:00:00,2005-07-31 12:00:00,57.0,6,6,0,30.0,988.0,2.0,DD,RSMC_New_Delhi_Best_Track
2005-005,5.0,,2005,BOB,2005-09-12 03:00:00,2005-09-16 12:00:00,105.0,10,10,0,25.0,992.0,1.5,D,RSMC_New_Delhi_Best_Track
2005-006,6.0,,2005,ARB,2005-09-14 03:00:00,2005-09-16 12:00:00,57.0,6,6,0,25.0,996.0,1.5,D,RSMC_New_Delhi_Best_Track
2005-007,7.0,PYARR,2005,BOB,2005-09-17 03:00:00,2005-09-21 12:00:00,105.0,24,24,0,35.0,988.0,2.5,CS,RSMC_New_Delhi_Best_Track
2005-008,8.0,,2005,BOB,2005-10-26 03:00:00,2005-10-29 03:00:00,72.0,21,21,0,30.0,998.0,2.0,DD,RSMC_New_Delhi_Best_Track
2005-009,9.0,,2005,BOB,2005-11-20 03:00:00,2005-11-22 09:00:00,54.0,19,19,0,25.0,1002.0,1.5,D,RSMC_New_Delhi_Best_Track
2005-010,10.0,BAAZ,2005,BOB,2005-11-28 03:00:00,2005-12-02 03:00:00,96.0,33,33,0,45.0,998.0,3.0,CS,RSMC_New_Delhi_Best_Track
2005-011,11.0,FANOOS,2005,BOB,2005-12-06 03:00:00,2005-12-10 12:00:00,105.0,35,35,0,45.0,998.0,3.0,CS,RSMC_New_Delhi_Best_Track
2005-012,12.0,,2005,BOB,2005-12-15 12:00:00,2005-12-22 00:00:00,156.0,53,53,0,30.0,1000.0,2.0,DD,RSMC_New_Delhi_Best_Track
2006-001,1.0,,2006,ARB,2006-01-13 12:00:00,2006-01-14 21:00:00,33.0,9,9,0,30.0,1004.0,2.0,DD,RSMC_New_Delhi_Best_Track
2006-002,2.0,MALA,2006,BOB,2006-04-25 03:00:00,2006-04-29 18:00:00,111.0,38,38,0,100.0,954.0,5.5,ESCS,RSMC_New_Delhi_Best_Track
2006-003,3.0,,2006,BOB,2006-07-02 00:00:00,2006-07-05 06:00:00,78.0,27,27,0,30.0,982.0,2.0,DD,RSMC_New_Delhi_Best_Track
2006-004,4.0,,2006,BOB,2006-08-02 03:00:00,2006-08-05 09:00:00,78.0,26,26,0,30.0,986.0,2.0,DD,RSMC_New_Delhi_Best_Track
2006-005,5.0,,2006,BOB,2006-08-12 03:00:00,2006-08-13 00:00:00,21.0,8,8,0,25.0,992.0,1.5,D,RSMC_New_Delhi_Best_Track
2006-006,6.0,,2006,BOB,2006-08-16 03:00:00,2006-08-18 09:00:00,54.0,19,19,0,25.0,988.0,1.5,D,RSMC_New_Delhi_Best_Track
2006-007,7.0,,2006,BOB,2006-08-29 03:00:00,2006-09-01 06:00:00,75.0,26,26,0,25.0,990.0,1.5,D,RSMC_New_Delhi_Best_Track
2006-008,8.0,,2006,BOB,2006-09-03 03:00:00,2006-09-04 21:00:00,42.0,15,15,0,25.0,992.0,1.5,D,RSMC_New_Delhi_Best_Track
2006-009,9.0,,2006,LAND,2006-09-21 03:00:00,2006-09-24 00:00:00,69.0,24,24,0,25.0,996.0,,D,RSMC_New_Delhi_Best_Track
2006-010,10.0,MUKDA,2006,ARB,2006-09-21 03:00:00,2006-09-24 12:00:00,81.0,28,28,0,55.0,988.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2006-011,11.0,,2006,BOB,2006-09-28 09:00:00,2006-09-30 00:00:00,39.0,14,14,0,25.0,1002.0,1.5,D,RSMC_New_Delhi_Best_Track
2006-012,12.0,OGNI,2006,BOB,2006-10-29 00:00:00,2006-10-30 09:00:00,33.0,12,12,0,35.0,998.0,2.5,CS,RSMC_New_Delhi_Best_Track
2007-001,1.0,,2007,BOB,2007-05-03 12:00:00,2007-05-04 21:00:00,33.0,12,12,0,25.0,998.0,1.5,D,RSMC_New_Delhi_Best_Track
2007-002,2.0,AKASH,2007,BOB,2007-05-13 03:00:00,2007-05-14 21:00:00,42.0,15,15,0,45.0,988.0,3.0,CS,RSMC_New_Delhi_Best_Track
2007-003,3.0,GONU,2007,ARB,2007-06-01 18:00:00,2007-06-07 03:00:00,129.0,43,43,0,127.0,920.0,6.5,SuCS,RSMC_New_Delhi_Best_Track
2007-004,4.0,,2007,BOB,2007-06-21 03:00:00,2007-06-23 09:00:00,54.0,19,19,0,30.0,988.0,2.0,DD,RSMC_New_Delhi_Best_Track
2007-005,5.0,YEMYIN,2007,ARB,2007-06-25 03:00:00,2007-06-26 00:00:00,21.0,8,8,0,35.0,986.0,2.5,CS,RSMC_New_Delhi_Best_Track
2007-006,6.0,,2007,BOB,2007-06-28 00:00:00,2007-06-30 12:00:00,60.0,21,21,0,30.0,986.0,2.0,DD,RSMC_New_Delhi_Best_Track
2007-007,7.0,,2007,BOB,2007-05-07 00:00:00,2007-09-07 09:00:00,2961.0,43,43,0,30.0,988.0,1.5,DD,RSMC_New_Delhi_Best_Track
2007-008,8.0,,2007,BOB,2007-05-08 00:00:00,2007-07-08 09:00:00,1473.0,20,20,0,30.0,984.0,2.0,DD,RSMC_New_Delhi_Best_Track
2007-010,9.0,SIDR,2007,BOB,2007-11-11 09:00:00,2007-12-11 21:00:00,732.0,39,39,0,115.0,944.0,6.0,ESCS,RSMC_New_Delhi_Best_Track
2007-009,11.0,,2007,ARB,2007-01-11 00:00:00,2007-10-31 21:00:00,7053.0,45,45,0,30.0,1000.0,2.0,DD,RSMC_New_Delhi_Best_Track
2008-001,1.0,NARGIS,2008,BOB,2008-01-05 00:00:00,2008-04-30 21:00:00,2805.0,51,51,0,90.0,962.0,5.0,ESCS,RSMC_New_Delhi_Best_Track
2008-002,2.0,,2008,ARB,2008-05-06 00:00:00,2008-06-06 21:00:00,765.0,16,16,0,25.0,994.0,2.0,D,RSMC_New_Delhi_Best_Track
2008-003,3.0,,2008,BOB,2008-06-16 03:00:00,2008-06-18 03:00:00,48.0,7,7,0,25.0,988.0,1.5,D,RSMC_New_Delhi_Best_Track
2008-004,4.0,,2008,LAND,2008-09-08 12:00:00,2008-10-08 09:00:00,717.0,3,3,0,25.0,988.0,,D,RSMC_New_Delhi_Best_Track
2008-005,5.0,,2008,BOB,2008-09-15 12:00:00,2008-09-19 09:00:00,93.0,18,18,0,30.0,986.0,2.0,DD,RSMC_New_Delhi_Best_Track
2008-006,6.0,,2008,ARB,2008-10-19 09:00:00,2008-10-22 12:00:00,75.0,8,8,0,30.0,1000.0,2.0,DD,RSMC_New_Delhi_Best_Track
2008-007,7.0,RASHMI,2008,BOB,2008-10-25 03:00:00,2008-10-27 03:00:00,48.0,13,13,0,45.0,984.0,3.0,CS,RSMC_New_Delhi_Best_Track
2008-008,8.0,KHAIMUK,2008,BOB,2008-11-13 12:00:00,2008-11-16 03:00:00,63.0,20,20,0,40.0,994.0,2.5,CS,RSMC_New_Delhi_Best_Track
2008-009,9.0,NISHA,2008,BOB,2008-11-25 09:00:00,2008-11-27 12:00:00,51.0,17,17,0,45.0,996.0,3.0,CS,RSMC_New_Delhi_Best_Track
2008-010,10.0,,2008,BOB,2008-04-12 03:00:00,2008-07-12 12:00:00,2193.0,17,17,0,30.0,1004.0,2.0,DD,RSMC_New_Delhi_Best_Track
2009-001,1.0,BIJLI,2009,BOB,2009-04-14 09:00:00,2009-04-17 15:00:00,78.0,24,24,0,40.0,996.0,2.5,CS,RSMC_New_Delhi_Best_Track
2009-002,2.0,AILA,2009,BOB,2009-05-23 06:00:00,2009-05-26 06:00:00,72.0,22,22,0,60.0,968.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2009-003,3.0,,2009,ARB,2009-06-23 00:00:00,2009-06-24 00:00:00,24.0,7,7,0,25.0,998.0,1.5,D,RSMC_New_Delhi_Best_Track
2009-004,4.0,,2009,ARB,2009-06-25 09:00:00,2009-06-25 18:00:00,9.0,3,3,0,25.0,996.0,1.5,D,RSMC_New_Delhi_Best_Track
2009-005,5.0,,2009,BOB,2009-07-20 03:00:00,2009-07-21 06:00:00,27.0,7,7,0,30.0,988.0,2.0,DD,RSMC_New_Delhi_Best_Track
2009-006,6.0,,2009,BOB,2009-05-09 00:00:00,2009-07-09 09:00:00,1473.0,14,14,0,30.0,988.0,2.0,DD,RSMC_New_Delhi_Best_Track
2009-007,7.0,PHYAN,2009,ARB,2009-09-11 09:00:00,2009-11-11 18:00:00,1473.0,16,16,0,45.0,988.0,3.0,CS,RSMC_New_Delhi_Best_Track
2009-008,8.0,WARD,2009,BOB,2009-10-12 09:00:00,2009-12-15 00:00:00,1527.0,30,30,0,45.0,996.0,3.0,CS,RSMC_New_Delhi_Best_Track
2010-001,1.0,LAILA,2010,BOB,2010-05-17 06:00:00,2010-05-21 06:00:00,96.0,30,30,0,55.0,986.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2010-002,2.0,BANDU,2010,ARB,2010-05-19 09:00:00,2010-05-22 18:00:00,81.0,25,25,0,40.0,994.0,2.5,CS,RSMC_New_Delhi_Best_Track
2010-003,3.0,PHET,2010,ARB,2010-05-31 06:00:00,2010-06-07 06:00:00,168.0,53,53,0,85.0,964.0,4.5,VSCS,RSMC_New_Delhi_Best_Track
2010-004,4.0,,2010,BOB,2010-10-07 03:00:00,2010-10-08 18:00:00,39.0,9,9,0,25.0,996.0,1.5,D,RSMC_New_Delhi_Best_Track
2010-005,5.0,,2010,BOB,2010-10-13 06:00:00,2010-10-16 00:00:00,66.0,14,14,0,30.0,995.0,2.0,DD,RSMC_New_Delhi_Best_Track
2010-006,6.0,GIRI,2010,BOB,2010-10-20 12:00:00,2010-10-23 06:00:00,66.0,21,21,0,105.0,950.0,5.5,ESCS,RSMC_New_Delhi_Best_Track
2010-007,7.0,JAL,2010,BOB,2010-11-04 00:00:00,2010-11-08 03:00:00,99.0,30,30,0,60.0,988.0,3.5,SCS,RSMC_New_Delhi_Best_Track
2010-008,8.0,,2010,BOB,2010-12-07 03:00:00,2010-12-08 00:00:00,21.0,5,5,0,25.0,1000.0,1.5,D,RSMC_New_Delhi_Best_Track
2011-001,1.0,,2011,BOB,2011-02-02 09:00:00,2011-02-02 18:00:00,9.0,3,3,0,25.0,1002.0,1.5,D,RSMC_New_Delhi_Best_Track
2011-002,2.0,,2011,ARB,2011-06-11 12:00:00,2011-06-12 06:00:00,18.0,5,5,0,25.0,996.0,1.5,D,RSMC_New_Delhi_Best_Track
2011-003,3.0,,2011,BOB,2011-06-16 03:00:00,2011-06-22 18:00:00,159.0,34,34,0,35.0,978.0,1.5,DD,RSMC_New_Delhi_Best_Track
2011-004,4.0,,2011,LAND,2011-07-22 00:00:00,2011-07-23 00:00:00,24.0,6,6,0,20.0,990.0,,D,RSMC_New_Delhi_Best_Track
2011-005,5.0,,2011,BOB,2011-09-22 03:00:00,2011-09-23 06:00:00,27.0,7,7,0,25.0,995.0,1.5,D,RSMC_New_Delhi_Best_Track
2011-006,6.0,,2011,BOB,2011-10-19 00:00:00,2011-10-20 00:00:00,24.0,6,6,0,30.0,1002.0,2.0,DD,RSMC_New_Delhi_Best_Track
2011-007,7.0,KEILA,2011,ARB,2011-10-29 00:00:00,2011-11-04 03:00:00,147.0,32,32,0,35.0,996.0,2.5,CS,RSMC_New_Delhi_Best_Track
2011-008,8.0,,2011,ARB,2011-11-06 00:00:00,2011-11-10 03:00:00,99.0,17,17,0,30.0,1000.0,2.0,DD,RSMC_New_Delhi_Best_Track
2011-009,9.0,,2011,ARB,2011-11-26 03:00:00,2011-12-01 03:00:00,120.0,26,26,0,30.0,998.0,2.0,DD,RSMC_New_Delhi_Best_Track
2011-010,10.0,THANE,2011,BOB,2011-12-25 12:00:00,2011-12-30 12:00:00,120.0,36,36,0,75.0,969.0,4.5,VSCS,RSMC_New_Delhi_Best_Track
2012-001,1.0,,2012,BOB,2012-10-10 12:00:00,2012-10-11 03:00:00,15.0,5,5,0,30.0,1002.0,2.0,DD,RSMC_New_Delhi_Best_Track
2012-002,2.0,MURJAN,2012,ARB,2012-10-22 21:00:00,2012-10-26 03:00:00,78.0,14,14,0,40.0,998.0,2.5,CS,RSMC_New_Delhi_Best_Track
2012-003,3.0,NILAM,2012,BOB,2012-10-28 06:00:00,2012-11-01 18:00:00,108.0,28,28,0,45.0,987.0,3.0,CS,RSMC_New_Delhi_Best_Track
2012-004,4.0,,2012,BOB,2012-11-17 06:00:00,2012-11-19 12:00:00,54.0,13,13,0,30.0,1002.0,2.0,DD,RSMC_New_Delhi_Best_Track
2012-005,5.0,,2012,ARB,2012-12-22 06:00:00,2012-12-24 12:00:00,54.0,8,8,0,30.0,1002.0,2.0,DD,RSMC_New_Delhi_Best_Track
2013-001,1.0,VIYARU,2013,BOB,2013-05-10 09:00:00,2013-05-16 18:00:00,153.0,49,49,0,45.0,990.0,3.0,CS,RSMC_New_Delhi_Best_Track
2013-002,2.0,,2013,BOB,2013-05-29 03:00:00,2013-05-31 09:00:00,54.0,15,15,0,25.0,990.0,1.5,D,RSMC_New_Delhi_Best_Track
2013-003,3.0,,2013,BOB,2013-07-30 03:00:00,2013-08-01 00:00:00,45.0,9,9,0,25.0,990.0,1.5,D,RSMC_New_Delhi_Best_Track
2013-004,4.0,,2013,BOB,2013-08-20 00:00:00,2013-08-23 00:00:00,72.0,15,15,0,25.0,990.0,,D,RSMC_New_Delhi_Best_Track
2013-005,5.0,PHAILIN,2013,BOB,2013-10-08 03:00:00,2013-10-14 06:00:00,147.0,45,45,45,115.0,940.0,6.0,ESCS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2013-006,6.0,,2013,ARB,2013-11-08 06:00:00,2013-11-11 06:00:00,72.0,16,16,0,30.0,1002.0,2.0,DD,RSMC_New_Delhi_Best_Track
2013-007,7.0,,2013,BOB,2013-11-13 00:00:00,2013-11-16 18:00:00,90.0,21,21,0,25.0,1003.0,1.5,D,RSMC_New_Delhi_Best_Track
2013-008,8.0,HELEN,2013,BOB,2013-11-19 00:00:00,2013-11-22 18:00:00,90.0,28,28,28,55.0,990.0,3.5,SCS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2013-009,9.0,LEHAR,2013,BOB,2013-11-23 12:00:00,2013-11-28 12:00:00,120.0,38,38,38,75.0,980.0,4.0,VSCS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2013-010,10.0,MADI,2013,BOB,2013-12-06 03:00:00,2013-12-12 18:00:00,159.0,48,48,48,65.0,986.0,4.0,VSCS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2014-001,1.0,,2014,BOB,2014-01-04 03:00:00,2014-01-07 00:00:00,69.0,14,14,0,25.0,1004.0,1.5,D,RSMC_New_Delhi_Best_Track
2014-002,2.0,,2014,BOB,2014-05-21 03:00:00,2014-05-23 00:00:00,45.0,10,10,0,25.0,1000.0,1.5,D,RSMC_New_Delhi_Best_Track
2014-003,3.0,NANAUK,2014,ARB,2014-06-10 09:00:00,2014-06-14 00:00:00,87.0,26,26,26,45.0,986.0,3.0,CS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2014-004,4.0,,2014,LAND,2014-07-21 03:00:00,2014-07-23 06:00:00,51.0,12,12,0,25.0,988.0,,D,RSMC_New_Delhi_Best_Track
2014-005,5.0,,2014,BOB,2014-08-03 12:00:00,2014-08-06 18:00:00,78.0,17,17,0,30.0,988.0,2.0,DD,RSMC_New_Delhi_Best_Track
2014-006,6.0,HUDHUD,2014,BOB,2014-10-07 03:00:00,2014-10-14 09:00:00,174.0,53,53,53,100.0,950.0,5.0,ESCS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2014-007,7.0,NILOFAR,2014,ARB,2014-10-25 00:00:00,2014-10-31 00:00:00,144.0,45,45,45,110.0,950.0,5.5,ESCS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2014-008,8.0,,2014,BOB,2014-11-05 09:00:00,2014-11-08 00:00:00,63.0,14,14,0,30.0,998.0,2.0,DD,RSMC_New_Delhi_Best_Track
2015-001,1.0,ASHOBAA,2015,ARB,2015-06-07 03:00:00,2015-06-12 06:00:00,123.0,38,38,38,45.0,990.0,3.0,CS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2015-002,2.0,,2015,BOB,2015-06-20 03:00:00,2015-06-21 18:00:00,39.0,9,9,0,25.0,990.0,1.5,D,RSMC_New_Delhi_Best_Track
2015-003,3.0,,2015,ARB,2015-06-22 00:00:00,2015-06-24 18:00:00,66.0,14,14,0,30.0,988.0,2.0,DD,RSMC_New_Delhi_Best_Track
2015-004,4.0,,2015,LAND,2015-07-10 03:00:00,2015-07-12 09:00:00,54.0,19,19,0,25.0,994.0,,D,RSMC_New_Delhi_Best_Track
2015-005,5.0,,2015,LAND,2015-07-27 12:00:00,2015-07-30 00:00:00,60.0,21,21,0,30.0,994.0,,DD,RSMC_New_Delhi_Best_Track
2015-006,6.0,KOMEN,2015,BOB,2015-07-26 00:00:00,2015-08-02 09:00:00,177.0,42,42,0,40.0,986.0,2.5,CS,RSMC_New_Delhi_Best_Track
2015-007,7.0,,2015,LAND,2015-08-04 03:00:00,2015-08-04 18:00:00,15.0,5,5,0,25.0,998.0,,D,RSMC_New_Delhi_Best_Track
2015-008,8.0,,2015,LAND,2015-09-16 03:00:00,2015-09-19 00:00:00,69.0,24,24,0,30.0,996.0,,DD,RSMC_New_Delhi_Best_Track
2015-009,9.0,,2015,ARB,2015-10-09 00:00:00,2015-10-12 00:00:00,72.0,16,16,0,30.0,1000.0,2.0,DD,RSMC_New_Delhi_Best_Track
2015-010,10.0,CHAPALA,2015,ARB,2015-10-28 03:00:00,2015-11-04 00:00:00,165.0,52,52,52,115.0,940.0,6.0,ESCS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2015-011,11.0,MEGH,2015,ARB,2015-11-05 00:00:00,2015-11-10 12:00:00,132.0,43,43,43,95.0,964.0,5.0,ESCS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2015-012,12.0,,2015,BOB,2015-11-08 03:00:00,2015-11-10 03:00:00,48.0,11,11,0,30.0,996.0,2.0,DD,RSMC_New_Delhi_Best_Track
2016-001,1.0,ROANU,2016,BOB,2016-05-17 03:00:00,2016-05-22 00:00:00,117.0,32,32,32,45.0,983.0,3.0,CS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2016-002,2.0,,2016,ARB,2016-06-27 09:00:00,2016-06-29 00:00:00,39.0,9,9,0,25.0,996.0,1.5,D,RSMC_New_Delhi_Best_Track
2016-003,3.0,,2016,LAND,2016-07-06 03:00:00,2016-07-07 00:00:00,21.0,5,5,0,25.0,996.0,,D,RSMC_New_Delhi_Best_Track
2016-004,4.0,,2016,LAND,2016-08-09 09:00:00,2016-08-12 18:00:00,81.0,18,18,0,30.0,994.0,,DD,RSMC_New_Delhi_Best_Track
2016-005,5.0,,2016,BOB,2016-08-16 00:00:00,2016-08-20 18:00:00,114.0,22,22,0,25.0,994.0,1.5,DD,RSMC_New_Delhi_Best_Track
2016-006,6.0,KYANT,2016,BOB,2016-10-21 00:00:00,2016-10-27 18:00:00,162.0,41,41,41,40.0,996.0,2.5,CS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
2016-007,7.0,,2016,BOB,2016-11-02 18:00:00,2016-11-06 09:00:00,87.0,20,20,0,25.0,1000.0,1.5,D,RSMC_New_Delhi_Best_Track
2016-008,8.0,NADA,2016,BOB,2016-11-29 12:00:00,2016-12-02 00:00:00,60.0,16,16,16,40.0,1000.0,1006.0,CS,RSMC_New_Delhi_Best_Track;MOSDAC_SCORPIO
